start	end	type
cpd:C00074;5315	cpd:C00022	type4
2023	cpd:C00631;2023	type2
cpd:C00631	cpd:C00631;2023	type3
cpd:C00631;2023	cpd:C00074	type4
2026	cpd:C00631;2026	type2
cpd:C00631	cpd:C00631;2026	type3
cpd:C00631;2026	cpd:C00074	type4
2027	cpd:C00631;2027	type2
cpd:C00631	cpd:C00631;2027	type3
cpd:C00631;2027	cpd:C00074	type4
387712	cpd:C00631;387712	type2
cpd:C00631	cpd:C00631;387712	type3
cpd:C00631;387712	cpd:C00074	type4
2023	cpd:C00074;2023	type2
cpd:C00074	cpd:C00074;2023	type3
cpd:C00074;2023	cpd:C00631	type4
2026	cpd:C00074;2026	type2
cpd:C00074	cpd:C00074;2026	type3
cpd:C00074;2026	cpd:C00631	type4
2027	cpd:C00074;2027	type2
cpd:C00074	cpd:C00074;2027	type3
cpd:C00074;2027	cpd:C00631	type4
387712	cpd:C00074;387712	type2
cpd:C00074	cpd:C00074;387712	type3
cpd:C00074;387712	cpd:C00631	type4
441531	cpd:C00631;441531	type2
cpd:C00631	cpd:C00631;441531	type3
cpd:C00631;441531	cpd:C00197	type4
5223	cpd:C00631;5223	type2
cpd:C00631	cpd:C00631;5223	type3
cpd:C00631;5223	cpd:C00197	type4
5224	cpd:C00631;5224	type2
cpd:C00631	cpd:C00631;5224	type3
cpd:C00631;5224	cpd:C00197	type4
669	cpd:C00631;669	type2
cpd:C00631	cpd:C00631;669	type3
cpd:C00631;669	cpd:C00197	type4
441531	cpd:C00197;441531	type2
cpd:C00197	cpd:C00197;441531	type3
cpd:C00197;441531	cpd:C00631	type4
5223	cpd:C00197;5223	type2
cpd:C00197	cpd:C00197;5223	type3
cpd:C00197;5223	cpd:C00631	type4
5224	cpd:C00197;5224	type2
cpd:C00197	cpd:C00197;5224	type3
cpd:C00197;5224	cpd:C00631	type4
669	cpd:C00197;669	type2
cpd:C00197	cpd:C00197;669	type3
cpd:C00197;669	cpd:C00631	type4
2597	cpd:C00118;2597	type2
cpd:C00118	cpd:C00118;2597	type3
cpd:C00118;2597	cpd:C00236	type4
26330	cpd:C00118;26330	type2
cpd:C00118	cpd:C00118;26330	type3
cpd:C00118;26330	cpd:C00236	type4
2597	cpd:C00236;2597	type2
cpd:C00236	cpd:C00236;2597	type3
cpd:C00236;2597	cpd:C00118	type4
26330	cpd:C00236;26330	type2
cpd:C00236	cpd:C00236;26330	type3
cpd:C00236;26330	cpd:C00118	type4
7167	cpd:C00118;7167	type2
cpd:C00118	cpd:C00118;7167	type3
cpd:C00118;7167	cpd:C00111	type4
7167	cpd:C00111;7167	type2
cpd:C00111	cpd:C00111;7167	type3
cpd:C00111;7167	cpd:C00118	type4
226	cpd:C05378;226	type2
cpd:C05378	cpd:C05378;226	type3
cpd:C05378;226	cpd:C00111	type4
cpd:C05378;226	cpd:C00118	type4
229	cpd:C05378;229	type2
cpd:C05378	cpd:C05378;229	type3
cpd:C05378;229	cpd:C00111	type4
cpd:C05378;229	cpd:C00118	type4
230	cpd:C05378;230	type2
cpd:C05378	cpd:C05378;230	type3
cpd:C05378;230	cpd:C00111	type4
cpd:C05378;230	cpd:C00118	type4
226	cpd:C05378;226	type2
cpd:C05378	cpd:C05378;226	type3
cpd:C05378;226	cpd:C00118	type4
229	cpd:C05378;229	type2
cpd:C05378	cpd:C05378;229	type3
cpd:C05378;229	cpd:C00118	type4
230	cpd:C05378;230	type2
cpd:C05378	cpd:C05378;230	type3
cpd:C05378;230	cpd:C00118	type4
226	cpd:C00111;cpd:C00118;226	type2
cpd:C00111	cpd:C00111;cpd:C00118;226	type3
cpd:C00118	cpd:C00111;cpd:C00118;226	type3
cpd:C00111;cpd:C00118;226	cpd:C05378	type4
229	cpd:C00111;cpd:C00118;229	type2
cpd:C00111	cpd:C00111;cpd:C00118;229	type3
cpd:C00118	cpd:C00111;cpd:C00118;229	type3
cpd:C00111;cpd:C00118;229	cpd:C05378	type4
230	cpd:C00111;cpd:C00118;230	type2
cpd:C00111	cpd:C00111;cpd:C00118;230	type3
cpd:C00118	cpd:C00111;cpd:C00118;230	type3
cpd:C00111;cpd:C00118;230	cpd:C05378	type4
226	cpd:C00118;226	type2
cpd:C00118	cpd:C00118;226	type3
cpd:C00118;226	cpd:C05378	type4
229	cpd:C00118;229	type2
cpd:C00118	cpd:C00118;229	type3
cpd:C00118;229	cpd:C05378	type4
230	cpd:C00118;230	type2
cpd:C00118	cpd:C00118;230	type3
cpd:C00118;230	cpd:C05378	type4
5211	cpd:C05345;5211	type2
cpd:C05345	cpd:C05345;5211	type3
cpd:C05345;5211	cpd:C05378	type4
5213	cpd:C05345;5213	type2
cpd:C05345	cpd:C05345;5213	type3
cpd:C05345;5213	cpd:C05378	type4
5214	cpd:C05345;5214	type2
cpd:C05345	cpd:C05345;5214	type3
cpd:C05345;5214	cpd:C05378	type4
2203	cpd:C05378;2203	type2
cpd:C05378	cpd:C05378;2203	type3
cpd:C05378;2203	cpd:C05345	type4
8789	cpd:C05378;8789	type2
cpd:C05378	cpd:C05378;8789	type3
cpd:C05378;8789	cpd:C05345	type4
2821	cpd:C00668;2821	type2
cpd:C00668	cpd:C00668;2821	type3
cpd:C00668;2821	cpd:C05345	type4
2821	cpd:C05345;2821	type2
cpd:C05345	cpd:C05345;2821	type3
cpd:C05345;2821	cpd:C00668	type4
5236	cpd:C00103;5236	type2
cpd:C00103	cpd:C00103;5236	type3
cpd:C00103;5236	cpd:C00668	type4
55276	cpd:C00103;55276	type2
cpd:C00103	cpd:C00103;55276	type3
cpd:C00103;55276	cpd:C00668	type4
5236	cpd:C00668;5236	type2
cpd:C00668	cpd:C00668;5236	type3
cpd:C00668;5236	cpd:C00103	type4
55276	cpd:C00668;55276	type2
cpd:C00668	cpd:C00668;55276	type3
cpd:C00668;55276	cpd:C00103	type4
2821	cpd:C01172;2821	type2
cpd:C01172	cpd:C01172;2821	type3
cpd:C01172;2821	cpd:C05345	type4
2821	cpd:C05345;2821	type2
cpd:C05345	cpd:C05345;2821	type3
cpd:C05345;2821	cpd:C01172	type4
3098	cpd:C00221;3098	type2
cpd:C00221	cpd:C00221;3098	type3
cpd:C00221;3098	cpd:C01172	type4
3099	cpd:C00221;3099	type2
cpd:C00221	cpd:C00221;3099	type3
cpd:C00221;3099	cpd:C01172	type4
3101	cpd:C00221;3101	type2
cpd:C00221	cpd:C00221;3101	type3
cpd:C00221;3101	cpd:C01172	type4
80201	cpd:C00221;80201	type2
cpd:C00221	cpd:C00221;80201	type3
cpd:C00221;80201	cpd:C01172	type4
2645	cpd:C00221;2645	type2
cpd:C00221	cpd:C00221;2645	type3
cpd:C00221;2645	cpd:C01172	type4
NA	cpd:C00668;NA	type2
cpd:C00668	cpd:C00668;NA	type3
cpd:C00668;NA	cpd:C01172	type4
2821	cpd:C00668;2821	type2
cpd:C00668	cpd:C00668;2821	type3
cpd:C00668;2821	cpd:C01172	type4
NA	cpd:C01172;NA	type2
cpd:C01172	cpd:C01172;NA	type3
cpd:C01172;NA	cpd:C00668	type4
2821	cpd:C01172;2821	type2
cpd:C01172	cpd:C01172;2821	type3
