start	end	type
4352803	cpd:C00022;cpd:C00068;4352803	type2
cpd:C00022	cpd:C00022;cpd:C00068;4352803	type3
cpd:C00068	cpd:C00022;cpd:C00068;4352803	type3
cpd:C00022;cpd:C00068;4352803	cpd:C05125	type4
4329450	cpd:C00022;cpd:C00068;4329450	type2
cpd:C00022	cpd:C00022;cpd:C00068;4329450	type3
cpd:C00068	cpd:C00022;cpd:C00068;4329450	type3
cpd:C00022;cpd:C00068;4329450	cpd:C05125	type4
4329938	cpd:C00022;cpd:C00068;4329938	type2
cpd:C00022	cpd:C00022;cpd:C00068;4329938	type3
cpd:C00068	cpd:C00022;cpd:C00068;4329938	type3
cpd:C00022;cpd:C00068;4329938	cpd:C05125	type4
4335672	cpd:C00022;cpd:C00068;4335672	type2
cpd:C00022	cpd:C00022;cpd:C00068;4335672	type3
cpd:C00068	cpd:C00022;cpd:C00068;4335672	type3
cpd:C00022;cpd:C00068;4335672	cpd:C05125	type4
4350218	cpd:C00022;cpd:C00068;4350218	type2
cpd:C00022	cpd:C00022;cpd:C00068;4350218	type3
cpd:C00068	cpd:C00022;cpd:C00068;4350218	type3
cpd:C00022;cpd:C00068;4350218	cpd:C05125	type4
4324066	cpd:C00022;cpd:C00068;4324066	type2
cpd:C00022	cpd:C00022;cpd:C00068;4324066	type3
cpd:C00068	cpd:C00022;cpd:C00068;4324066	type3
cpd:C00022;cpd:C00068;4324066	cpd:C05125	type4
4332519	cpd:C00022;cpd:C00068;4332519	type2
cpd:C00022	cpd:C00022;cpd:C00068;4332519	type3
cpd:C00068	cpd:C00022;cpd:C00068;4332519	type3
cpd:C00022;cpd:C00068;4332519	cpd:C05125	type4
4339066	cpd:C00022;cpd:C00068;4339066	type2
cpd:C00022	cpd:C00022;cpd:C00068;4339066	type3
cpd:C00068	cpd:C00022;cpd:C00068;4339066	type3
cpd:C00022;cpd:C00068;4339066	cpd:C05125	type4
4339068	cpd:C00022;cpd:C00068;4339068	type2
cpd:C00022	cpd:C00022;cpd:C00068;4339068	type3
cpd:C00068	cpd:C00022;cpd:C00068;4339068	type3
cpd:C00022;cpd:C00068;4339068	cpd:C05125	type4
4344382	cpd:C00022;cpd:C00068;4344382	type2
cpd:C00022	cpd:C00022;cpd:C00068;4344382	type3
cpd:C00068	cpd:C00022;cpd:C00068;4344382	type3
cpd:C00022;cpd:C00068;4344382	cpd:C05125	type4
4330673	cpd:C05125;cpd:C15972;4330673	type2
cpd:C05125	cpd:C05125;cpd:C15972;4330673	type3
cpd:C15972	cpd:C05125;cpd:C15972;4330673	type3
cpd:C05125;cpd:C15972;4330673	cpd:C00068	type4
cpd:C05125;cpd:C15972;4330673	cpd:C16255	type4
4333564	cpd:C05125;cpd:C15972;4333564	type2
cpd:C05125	cpd:C05125;cpd:C15972;4333564	type3
cpd:C15972	cpd:C05125;cpd:C15972;4333564	type3
cpd:C05125;cpd:C15972;4333564	cpd:C00068	type4
cpd:C05125;cpd:C15972;4333564	cpd:C16255	type4
4334968	cpd:C05125;cpd:C15972;4334968	type2
cpd:C05125	cpd:C05125;cpd:C15972;4334968	type3
cpd:C15972	cpd:C05125;cpd:C15972;4334968	type3
cpd:C05125;cpd:C15972;4334968	cpd:C00068	type4
cpd:C05125;cpd:C15972;4334968	cpd:C16255	type4
4340640	cpd:C05125;cpd:C15972;4340640	type2
cpd:C05125	cpd:C05125;cpd:C15972;4340640	type3
cpd:C15972	cpd:C05125;cpd:C15972;4340640	type3
cpd:C05125;cpd:C15972;4340640	cpd:C00068	type4
cpd:C05125;cpd:C15972;4340640	cpd:C16255	type4
4346159	cpd:C05125;cpd:C15972;4346159	type2
cpd:C05125	cpd:C05125;cpd:C15972;4346159	type3
cpd:C15972	cpd:C05125;cpd:C15972;4346159	type3
cpd:C05125;cpd:C15972;4346159	cpd:C00068	type4
cpd:C05125;cpd:C15972;4346159	cpd:C16255	type4
4347531	cpd:C05125;cpd:C15972;4347531	type2
cpd:C05125	cpd:C05125;cpd:C15972;4347531	type3
cpd:C15972	cpd:C05125;cpd:C15972;4347531	type3
cpd:C05125;cpd:C15972;4347531	cpd:C00068	type4
cpd:C05125;cpd:C15972;4347531	cpd:C16255	type4
4352803	cpd:C05125;cpd:C15972;4352803	type2
cpd:C05125	cpd:C05125;cpd:C15972;4352803	type3
cpd:C15972	cpd:C05125;cpd:C15972;4352803	type3
cpd:C05125;cpd:C15972;4352803	cpd:C00068	type4
cpd:C05125;cpd:C15972;4352803	cpd:C16255	type4
4328010	cpd:C00024;cpd:C15973;4328010	type2
cpd:C00024	cpd:C00024;cpd:C15973;4328010	type3
cpd:C15973	cpd:C00024;cpd:C15973;4328010	type3
cpd:C00024;cpd:C15973;4328010	cpd:C16255	type4
4339859	cpd:C00024;cpd:C15973;4339859	type2
cpd:C00024	cpd:C00024;cpd:C15973;4339859	type3
cpd:C15973	cpd:C00024;cpd:C15973;4339859	type3
cpd:C00024;cpd:C15973;4339859	cpd:C16255	type4
4341113	cpd:C00024;cpd:C15973;4341113	type2
cpd:C00024	cpd:C00024;cpd:C15973;4341113	type3
cpd:C15973	cpd:C00024;cpd:C15973;4341113	type3
cpd:C00024;cpd:C15973;4341113	cpd:C16255	type4
4343003	cpd:C00024;cpd:C15973;4343003	type2
cpd:C00024	cpd:C00024;cpd:C15973;4343003	type3
cpd:C15973	cpd:C00024;cpd:C15973;4343003	type3
cpd:C00024;cpd:C15973;4343003	cpd:C16255	type4
4345640	cpd:C00024;cpd:C15973;4345640	type2
cpd:C00024	cpd:C00024;cpd:C15973;4345640	type3
cpd:C15973	cpd:C00024;cpd:C15973;4345640	type3
cpd:C00024;cpd:C15973;4345640	cpd:C16255	type4
4347022	cpd:C00024;cpd:C15973;4347022	type2
cpd:C00024	cpd:C00024;cpd:C15973;4347022	type3
cpd:C15973	cpd:C00024;cpd:C15973;4347022	type3
cpd:C00024;cpd:C15973;4347022	cpd:C16255	type4
4351678	cpd:C00024;cpd:C15973;4351678	type2
cpd:C00024	cpd:C00024;cpd:C15973;4351678	type3
cpd:C15973	cpd:C00024;cpd:C15973;4351678	type3
cpd:C00024;cpd:C15973;4351678	cpd:C16255	type4
4328010	cpd:C16255;4328010	type2
cpd:C16255	cpd:C16255;4328010	type3
cpd:C16255;4328010	cpd:C00024	type4
cpd:C16255;4328010	cpd:C15973	type4
4339859	cpd:C16255;4339859	type2
cpd:C16255	cpd:C16255;4339859	type3
cpd:C16255;4339859	cpd:C00024	type4
cpd:C16255;4339859	cpd:C15973	type4
4341113	cpd:C16255;4341113	type2
cpd:C16255	cpd:C16255;4341113	type3
cpd:C16255;4341113	cpd:C00024	type4
cpd:C16255;4341113	cpd:C15973	type4
4343003	cpd:C16255;4343003	type2
cpd:C16255	cpd:C16255;4343003	type3
cpd:C16255;4343003	cpd:C00024	type4
cpd:C16255;4343003	cpd:C15973	type4
4345640	cpd:C16255;4345640	type2
cpd:C16255	cpd:C16255;4345640	type3
cpd:C16255;4345640	cpd:C00024	type4
cpd:C16255;4345640	cpd:C15973	type4
4347022	cpd:C16255;4347022	type2
cpd:C16255	cpd:C16255;4347022	type3
cpd:C16255;4347022	cpd:C00024	type4
cpd:C16255;4347022	cpd:C15973	type4
4351678	cpd:C16255;4351678	type2
cpd:C16255	cpd:C16255;4351678	type3
cpd:C16255;4351678	cpd:C00024	type4
cpd:C16255;4351678	cpd:C15973	type4
4328012	cpd:C00186;4328012	type2
cpd:C00186	cpd:C00186;4328012	type3
cpd:C00186;4328012	cpd:C00022	type4
4339856	cpd:C00186;4339856	type2
cpd:C00186	cpd:C00186;4339856	type3
cpd:C00186;4339856	cpd:C00022	type4
4328012	cpd:C00022;4328012	type2
cpd:C00022	cpd:C00022;4328012	type3
cpd:C00022;4328012	cpd:C00186	type4
4339856	cpd:C00022;4339856	type2
