start	end	type
cpd:C00022;cpd:C00068;AT4G33070	cpd:C05125	type4
AT5G01320	cpd:C00022;cpd:C00068;AT5G01320	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G01320	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G01320	type3
cpd:C00022;cpd:C00068;AT5G01320	cpd:C05125	type4
AT5G01330	cpd:C00022;cpd:C00068;AT5G01330	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G01330	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G01330	type3
cpd:C00022;cpd:C00068;AT5G01330	cpd:C05125	type4
AT5G54960	cpd:C00022;cpd:C00068;AT5G54960	type2
cpd:C00022	cpd:C00022;cpd:C00068;AT5G54960	type3
cpd:C00068	cpd:C00022;cpd:C00068;AT5G54960	type3
cpd:C00022;cpd:C00068;AT5G54960	cpd:C05125	type4
AT1G01090	cpd:C05125;cpd:C15972;AT1G01090	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G01090	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G01090	type3
cpd:C05125;cpd:C15972;AT1G01090	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G01090	cpd:C16255	type4
AT1G24180	cpd:C05125;cpd:C15972;AT1G24180	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G24180	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G24180	type3
cpd:C05125;cpd:C15972;AT1G24180	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G24180	cpd:C16255	type4
AT1G30120	cpd:C05125;cpd:C15972;AT1G30120	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G30120	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G30120	type3
cpd:C05125;cpd:C15972;AT1G30120	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G30120	cpd:C16255	type4
AT1G59900	cpd:C05125;cpd:C15972;AT1G59900	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT1G59900	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT1G59900	type3
cpd:C05125;cpd:C15972;AT1G59900	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT1G59900	cpd:C16255	type4
AT2G34590	cpd:C05125;cpd:C15972;AT2G34590	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT2G34590	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT2G34590	type3
cpd:C05125;cpd:C15972;AT2G34590	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT2G34590	cpd:C16255	type4
AT5G50850	cpd:C05125;cpd:C15972;AT5G50850	type2
cpd:C05125	cpd:C05125;cpd:C15972;AT5G50850	type3
cpd:C15972	cpd:C05125;cpd:C15972;AT5G50850	type3
cpd:C05125;cpd:C15972;AT5G50850	cpd:C00068	type4
cpd:C05125;cpd:C15972;AT5G50850	cpd:C16255	type4
AT1G34430	cpd:C00024;cpd:C15973;AT1G34430	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT1G34430	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT1G34430	type3
cpd:C00024;cpd:C15973;AT1G34430	cpd:C16255	type4
AT1G54220	cpd:C00024;cpd:C15973;AT1G54220	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT1G54220	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT1G54220	type3
cpd:C00024;cpd:C15973;AT1G54220	cpd:C16255	type4
AT3G13930	cpd:C00024;cpd:C15973;AT3G13930	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT3G13930	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT3G13930	type3
cpd:C00024;cpd:C15973;AT3G13930	cpd:C16255	type4
AT3G25860	cpd:C00024;cpd:C15973;AT3G25860	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT3G25860	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT3G25860	type3
cpd:C00024;cpd:C15973;AT3G25860	cpd:C16255	type4
AT3G52200	cpd:C00024;cpd:C15973;AT3G52200	type2
cpd:C00024	cpd:C00024;cpd:C15973;AT3G52200	type3
cpd:C15973	cpd:C00024;cpd:C15973;AT3G52200	type3
cpd:C00024;cpd:C15973;AT3G52200	cpd:C16255	type4
AT1G34430	cpd:C16255;AT1G34430	type2
cpd:C16255	cpd:C16255;AT1G34430	type3
cpd:C16255;AT1G34430	cpd:C00024	type4
cpd:C16255;AT1G34430	cpd:C15973	type4
AT1G54220	cpd:C16255;AT1G54220	type2
cpd:C16255	cpd:C16255;AT1G54220	type3
cpd:C16255;AT1G54220	cpd:C00024	type4
cpd:C16255;AT1G54220	cpd:C15973	type4
AT3G13930	cpd:C16255;AT3G13930	type2
cpd:C16255	cpd:C16255;AT3G13930	type3
cpd:C16255;AT3G13930	cpd:C00024	type4
cpd:C16255;AT3G13930	cpd:C15973	type4
AT3G25860	cpd:C16255;AT3G25860	type2
cpd:C16255	cpd:C16255;AT3G25860	type3
cpd:C16255;AT3G25860	cpd:C00024	type4
cpd:C16255;AT3G25860	cpd:C15973	type4
AT3G52200	cpd:C16255;AT3G52200	type2
cpd:C16255	cpd:C16255;AT3G52200	type3
cpd:C16255;AT3G52200	cpd:C00024	type4
cpd:C16255;AT3G52200	cpd:C15973	type4
AT4G17260	cpd:C00186;AT4G17260	type2
cpd:C00186	cpd:C00186;AT4G17260	type3
cpd:C00186;AT4G17260	cpd:C00022	type4
AT4G17260	cpd:C00022;AT4G17260	type2
cpd:C00022	cpd:C00022;AT4G17260	type3
cpd:C00022;AT4G17260	cpd:C00186	type4
AT1G32440	cpd:C00074;AT1G32440	type2
cpd:C00074	cpd:C00074;AT1G32440	type3
cpd:C00074;AT1G32440	cpd:C00022	type4
AT2G36580	cpd:C00074;AT2G36580	type2
cpd:C00074	cpd:C00074;AT2G36580	type3
cpd:C00074;AT2G36580	cpd:C00022	type4
AT3G04050	cpd:C00074;AT3G04050	type2
cpd:C00074	cpd:C00074;AT3G04050	type3
cpd:C00074;AT3G04050	cpd:C00022	type4
AT3G22960	cpd:C00074;AT3G22960	type2
cpd:C00074	cpd:C00074;AT3G22960	type3
cpd:C00074;AT3G22960	cpd:C00022	type4
AT3G25960	cpd:C00074;AT3G25960	type2
cpd:C00074	cpd:C00074;AT3G25960	type3
cpd:C00074;AT3G25960	cpd:C00022	type4
AT3G49160	cpd:C00074;AT3G49160	type2
cpd:C00074	cpd:C00074;AT3G49160	type3
cpd:C00074;AT3G49160	cpd:C00022	type4
AT3G52990	cpd:C00074;AT3G52990	type2
cpd:C00074	cpd:C00074;AT3G52990	type3
cpd:C00074;AT3G52990	cpd:C00022	type4
AT3G55650	cpd:C00074;AT3G55650	type2
cpd:C00074	cpd:C00074;AT3G55650	type3
cpd:C00074;AT3G55650	cpd:C00022	type4
AT3G55810	cpd:C00074;AT3G55810	type2
cpd:C00074	cpd:C00074;AT3G55810	type3
cpd:C00074;AT3G55810	cpd:C00022	type4
AT4G26390	cpd:C00074;AT4G26390	type2
cpd:C00074	cpd:C00074;AT4G26390	type3
cpd:C00074;AT4G26390	cpd:C00022	type4
AT5G08570	cpd:C00074;AT5G08570	type2
cpd:C00074	cpd:C00074;AT5G08570	type3
cpd:C00074;AT5G08570	cpd:C00022	type4
AT5G52920	cpd:C00074;AT5G52920	type2
cpd:C00074	cpd:C00074;AT5G52920	type3
cpd:C00074;AT5G52920	cpd:C00022	type4
AT5G56350	cpd:C00074;AT5G56350	type2
cpd:C00074	cpd:C00074;AT5G56350	type3
cpd:C00074;AT5G56350	cpd:C00022	type4
AT5G63680	cpd:C00074;AT5G63680	type2
cpd:C00074	cpd:C00074;AT5G63680	type3
cpd:C00074;AT5G63680	cpd:C00022	type4
AT1G32440	cpd:C00022;AT1G32440	type2
cpd:C00022	cpd:C00022;AT1G32440	type3
cpd:C00022;AT1G32440	cpd:C00074	type4
AT2G36580	cpd:C00022;AT2G36580	type2
cpd:C00022	cpd:C00022;AT2G36580	type3
cpd:C00022;AT2G36580	cpd:C00074	type4
AT3G04050	cpd:C00022;AT3G04050	type2
cpd:C00022	cpd:C00022;AT3G04050	type3
cpd:C00022;AT3G04050	cpd:C00074	type4
AT3G22960	cpd:C00022;AT3G22960	type2
cpd:C00022	cpd:C00022;AT3G22960	type3
cpd:C00022;AT3G22960	cpd:C00074	type4
AT3G25960	cpd:C00022;AT3G25960	type2
cpd:C00022	cpd:C00022;AT3G25960	type3
cpd:C00022;AT3G25960	cpd:C00074	type4
AT3G49160	cpd:C00022;AT3G49160	type2
cpd:C00022	cpd:C00022;AT3G49160	type3
cpd:C00022;AT3G49160	cpd:C00074	type4
AT3G52990	cpd:C00022;AT3G52990	type2
cpd:C00022	cpd:C00022;AT3G52990	type3
cpd:C00022;AT3G52990	cpd:C00074	type4
AT3G55650	cpd:C00022;AT3G55650	type2
cpd:C00022	cpd:C00022;AT3G55650	type3
cpd:C00022;AT3G55650	cpd:C00074	type4
AT3G55810	cpd:C00022;AT3G55810	type2
cpd:C00022	cpd:C00022;AT3G55810	type3
cpd:C00022;AT3G55810	cpd:C00074	type4
AT4G26390	cpd:C00022;AT4G26390	type2
